respondent_id,version,task_id,set_items,best_item,worst_item,weight
17,17,1,"[12, 28, 5, 30, 33]",5,33,0.563296097053295
17,17,2,"[17, 16, 14, 4, 11]",14,17,0.563296097053295
17,17,3,"[7, 25, 22, 8, 26]",22,7,0.563296097053295
17,17,4,"[9, 40, 35, 37, 29]",40,29,0.563296097053295
17,17,5,"[34, 31, 13, 38, 36]",13,34,0.563296097053295
17,17,6,"[24, 21, 2, 15, 30]",24,2,0.563296097053295
17,17,7,"[27, 32, 39, 23, 18]",39,18,0.563296097053295
17,17,8,"[10, 5, 25, 28, 4]",28,5,0.563296097053295
17,17,9,"[6, 11, 19, 20, 1]",19,20,0.563296097053295
17,17,10,"[29, 17, 38, 33, 2]",17,29,0.563296097053295
17,17,11,"[40, 16, 21, 32, 3]",16,3,0.563296097053295
17,17,12,"[22, 31, 35, 10, 24]",35,24,0.563296097053295
17,17,13,"[18, 37, 28, 6, 15]",37,28,0.563296097053295
17,17,14,"[3, 34, 39, 26, 1]",39,1,0.563296097053295
17,17,15,"[14, 8, 12, 38, 9]",12,9,0.563296097053295
17,17,16,"[19, 27, 7, 36, 33]",19,27,0.563296097053295
17,17,17,"[30, 23, 20, 22, 13]",22,23,0.563296097053295
17,17,18,"[11, 15, 29, 3, 31]",29,31,0.563296097053295
18,18,1,"[10, 9, 16, 34, 32]",10,32,0.941797054259014
18,18,2,"[26, 13, 12, 11, 38]",13,38,0.941797054259014
18,18,3,"[37, 39, 31, 19, 5]",5,37,0.941797054259014
18,18,4,"[35, 21, 14, 6, 25]",6,25,0.941797054259014
18,18,5,"[8, 27, 4, 1, 28]",1,28,0.941797054259014
18,18,6,"[23, 7, 24, 9, 17]",9,23,0.941797054259014
18,18,7,"[3, 26, 22, 19, 16]",3,22,0.941797054259014
18,18,8,"[39, 33, 18, 13, 40]",13,39,0.941797054259014
18,18,9,"[32, 30, 36, 25, 37]",32,25,0.941797054259014
18,18,10,"[15, 29, 1, 35, 22]",15,29,0.941797054259014
18,18,11,"[28, 34, 11, 23, 20]",11,20,0.941797054259014
18,18,12,"[7, 2, 27, 5, 14]",2,27,0.941797054259014
18,18,13,"[33, 4, 38, 21, 10]",10,21,0.941797054259014
18,18,14,"[31, 1, 20, 12, 17]",12,20,0.941797054259014
18,18,15,"[2, 36, 8, 16, 18]",2,18,0.941797054259014
18,18,16,"[29, 24, 6, 30, 39]",6,39,0.941797054259014
18,18,17,"[28, 35, 40, 3, 12]",3,28,0.941797054259014
18,18,18,"[36, 4, 26, 27, 15]",15,36,0.941797054259014
19,19,1,"[1, 29, 16, 13, 5]",1,13,0.88246624313761
19,19,2,"[14, 18, 33, 12, 35]",33,12,0.88246624313761
19,19,3,"[20, 36, 15, 24, 23]",23,24,0.88246624313761
19,19,4,"[39, 38, 7, 10, 30]",10,38,0.88246624313761
19,19,5,"[21, 5, 17, 32, 19]",19,17,0.88246624313761
19,19,6,"[2, 11, 22, 28, 31]",2,31,0.88246624313761
19,19,7,"[35, 6, 9, 36, 26]",9,26,0.88246624313761
19,19,8,"[34, 16, 25, 17, 7]",7,25,0.88246624313761
